date,source,facility_id,unit_id,street,city,state,postal_code,lat,lng,unit_label,width_ft,length_ft,height_ft,area_sqft,category,price,regular_price
2026-08-30,cubesmart,3281,333255a9-aaf8-4a01-9da4-e7aca4a18780,10921 Bailey Rd,Cornelius,NC,28031,35.46308,-80.85178,20 ft,,20.0,,,parking,55.8,93.0
2026-08-30,cubesmart,3281,3059e7c0-610d-4917-9bac-b035b4a76ea3,10921 Bailey Rd,Cornelius,NC,28031,35.46308,-80.85178,25 ft,,25.0,,,parking,61.8,103.0
2026-08-30,cubesmart,3281,3a1ca56d-6b8a-4d4d-8050-57b1bc0fedb3,10921 Bailey Rd,Cornelius,NC,28031,35.46308,-80.85178,30 ft,,30.0,,,parking,63.0,84.0
2026-08-30,cubesmart,3281,693a59d2-ffb3-4148-8ff1-cf044e4b4cc8,10921 Bailey Rd,Cornelius,NC,28031,35.46308,-80.85178,40 ft,,40.0,,,parking,76.8,128.0
2026-08-30,cubesmart,3281,bfd000ff-530f-4861-b3cc-416b119f9726,10921 Bailey Rd,Cornelius,NC,28031,35.46308,-80.85178,5x10,5.0,10.0,8.0,50.0,small,41.0,82.0
2026-08-30,cubesmart,3281,bb320edb-2e6c-43d0-82ca-34f08d3dc1b7,10921 Bailey Rd,Cornelius,NC,28031,35.46308,-80.85178,5x10,5.0,10.0,8.0,50.0,small,41.0,82.0
2026-08-30,cubesmart,3281,7835d1ea-7fed-45c9-bfb9-492cac43f5a4,10921 Bailey Rd,Cornelius,NC,28031,35.46308,-80.85178,5x10,5.0,10.0,8.0,50.0,small,68.5,137.0
2026-08-30,cubesmart,3281,7e2298a7-f231-404f-b94c-0eb50df87bf8,10921 Bailey Rd,Cornelius,NC,28031,35.46308,-80.85178,5x10,5.0,10.0,8.0,50.0,small,68.5,137.0
2026-08-30,cubesmart,3281,1861c868-9379-42ff-ad47-610eb301882d,10921 Bailey Rd,Cornelius,NC,28031,35.46308,-80.85178,5x5,5.0,5.0,8.0,25.0,small,26.5,53.0
2026-08-30,cubesmart,3281,19799cb9-3860-4e86-87b7-8258ed328bc9,10921 Bailey Rd,Cornelius,NC,28031,35.46308,-80.85178,5x5,5.0,5.0,8.0,25.0,small,32.0,64.0
